ad_id,page_id,page_name,promotional_text,ad_delivery_start_time,ad_delivery_stop_time,ad_creation_time,created_time,updated_time,ad_creative_bodies,status,effective_status,ad_active_status,is_active,body,title,caption,description,link_url,image_name,image_link,image_description,impressions_min,impressions_max,spend_min,spend_max,ad_url,publisher_platforms,languages
1627413021487509,179450065439629,Chewy,Holiday stocking stuffers for your pet? Chewy has everything you need to make it special!,,,,,,['Holiday stocking stuffers for your pet? Chewy has everything you need to make it special!'],,,,,,,,,,"For great holiday deals, shop Chewy.",,,0,0,0,0,https://www.facebook.com/ads/library/?id=1627413021487509,"facebook, instagram, messenger",en
567230569051040,179450065439629,Chewy,15% off select treats by Purina. Use code: Early15.,,,,,,['15% off select treats by Purina. Use code: Early15.'],,,,,,,,,,’Tis the Season for Treats,,,0,0,0,0,https://www.facebook.com/ads/library/?id=567230569051040,"facebook, instagram",en
522295724062264,179450065439629,Chewy,"Feed their taste adventure this holiday season with 100% natural recipes, 100% adventurous flavors.",,,,,,"['Feed their taste adventure this holiday season with 100% natural recipes, 100% adventurous flavors.']",,,,,,,,,,Save on Applaws™,,,0,0,0,0,https://www.facebook.com/ads/library/?id=522295724062264,"facebook, instagram, audience_network, messenger",en
1376537736642666,179450065439629,Chewy,"For a limited time, save up to 40% on drool-worthy gifts, plus buy 3 and get the 4th free on festive toys and more",,,,,,"['For a limited time, save up to 40% on drool-worthy gifts, plus buy 3 and get the 4th free on festive toys and more', 'For a limited time, save up to 40% on drool-worthy gifts, plus buy 3 and get the 4th free on festive toys and more', 'For a limited time, save up to 40% on drool-worthy gifts, plus buy 3 and get the 4th free on festive toys and more', 'For a limited time, save up to 40% on drool-worthy gifts, plus buy 3 and get the 4th free on festive toys and more', 'For a limited time, save up to 40% on drool-worthy gifts, plus buy 3 and get the 4th free on festive toys and more', 'For a limited time, save up to 40% on drool-worthy gifts, plus buy 3 and get the 4th free on festive toys and more', 'For a limited time, save up to 40% on drool-worthy gifts, plus buy 3 and get the 4th free on festive toys and more']",,,,,,,,,,Chewy,,,0,0,0,0,https://www.facebook.com/ads/library/?id=1376537736642666,"facebook, instagram, audience_network, messenger",en
537222649047870,179450065439629,Chewy,"Supports superior digestion, strong immune system function and healthy skin & coat.",,,,,,"['Supports superior digestion, strong immune system function and healthy skin & coat.']",,,,,,,,,,Super Premium Nutrition,,,0,0,0,0,https://www.facebook.com/ads/library/?id=537222649047870,"facebook, instagram, audience_network, messenger",en
550708357902685,179450065439629,Chewy,Harness the goodness of nature to help your dog live a full and active life. Because we understand that your pet’s health and vitality begins with what they eat.,,,,,,['Harness the goodness of nature to help your dog live a full and active life. Because we understand that your pet’s health and vitality begins with what they eat.'],,,,,,,,,,LET’S GROW HEALTHY DOGS™,,,0,0,0,0,https://www.facebook.com/ads/library/?id=550708357902685,"facebook, instagram, audience_network, messenger",en
855855213285681,179450065439629,Chewy,"Get 35% off your 1st Autoship order of Purina Pro Plan—the fuel of National Dog Show champions, 13 years running",,,,,,"['Get 35% off your 1st Autoship order of Purina Pro Plan—the fuel of National Dog Show champions, 13 years running', 'Get 35% off your 1st Autoship order of Purina Pro Plan—the fuel of National Dog Show champions, 13 years running', 'Get 35% off your 1st Autoship order of Purina Pro Plan—the fuel of National Dog Show champions, 13 years running', 'Get 35% off your 1st Autoship order of Purina Pro Plan—the fuel of National Dog Show champions, 13 years running', 'Get 35% off your 1st Autoship order of Purina Pro Plan—the fuel of National Dog Show champions, 13 years running', 'Get 35% off your 1st Autoship order of Purina Pro Plan—the fuel of National Dog Show champions, 13 years running', 'Get 35% off your 1st Autoship order of Purina Pro Plan—the fuel of National Dog Show champions, 13 years running']",,,,,,,,,,Chewy,,,0,0,0,0,https://www.facebook.com/ads/library/?id=855855213285681,"facebook, instagram, audience_network, messenger",en
1516178919102337,179450065439629,Chewy,"Get 35% off your 1st Autoship order of Purina Pro Plan—the fuel of National Dog Show champions, 13 years running",,,,,,"['Get 35% off your 1st Autoship order of Purina Pro Plan—the fuel of National Dog Show champions, 13 years running', 'Get 35% off your 1st Autoship order of Purina Pro Plan—the fuel of National Dog Show champions, 13 years running', 'Get 35% off your 1st Autoship order of Purina Pro Plan—the fuel of National Dog Show champions, 13 years running', 'Get 35% off your 1st Autoship order of Purina Pro Plan—the fuel of National Dog Show champions, 13 years running', 'Get 35% off your 1st Autoship order of Purina Pro Plan—the fuel of National Dog Show champions, 13 years running', 'Get 35% off your 1st Autoship order of Purina Pro Plan—the fuel of National Dog Show champions, 13 years running']",,,,,,,,,,Chewy,,,0,0,0,0,https://www.facebook.com/ads/library/?id=1516178919102337,"facebook, instagram, audience_network, messenger",en
1778453502896597,179450065439629,Chewy,Nutritious & delicious for your pup's everyday health and wellbeing. Wellness CORE+ high protein kibble is proven to support peak vitality.,,,,,,"[""Nutritious & delicious for your pup's everyday health and wellbeing. Wellness CORE+ high protein kibble is proven to support peak vitality.""]",,,,,,,,,,Wellness® CORE+ Dry Dog Food,,,0,0,0,0,https://www.facebook.com/ads/library/?id=1778453502896597,"facebook, instagram, audience_network, messenger",en
863971172167993,179450065439629,Chewy,"Got a picky eater in the family? Mix up your pup’s mealtime routine with a boost of freeze-dried raw meat, fruits, and veggies. The benefits of raw nutrition with flavors that dogs crave.",,,,,,"['Got a picky eater in the family? Mix up your pup’s mealtime routine with a boost of freeze-dried raw meat, fruits, and veggies. The benefits of raw nutrition with flavors that dogs crave.']",,,,,,,,,,Kickstart Your Kibble,,,0,0,0,0,https://www.facebook.com/ads/library/?id=863971172167993,"facebook, instagram, audience_network, messenger",en
